"",GSM155179.CEL,GSM155181.CEL,GSM155183.CEL,GSM155185.CEL,GSM155187.CEL,GSM155190.CEL,GSM155195.CEL,GSM155201.CEL,GSM155203.CEL,GSM155206.CEL,GSM155219.CEL,GSM155221.CEL,GSM155223.CEL,GSM155225.CEL,GSM155227.CEL,GSM155229.CEL,GSM155232.CEL,GSM155234.CEL,GSM155236.CEL,GSM155238.CEL
100,9.8466281032993,10.3293765156145,9.45042174100249,9.24343114658017,10.1820256186038,9.09474798619039,9.76766286460686,9.47713437752076,8.47845551105089,9.66304575294714,9.03448142568403,9.26844530365791,9.29249814325518,8.21863064436549,9.31116182800638,9.24876516416076,8.51946936118065,8.58492742292549,8.92432394441776,8.40978373667948
10000,7.25556007291153,7.13652200135876,7.59872594286579,7.45117563900064,7.48178501386001,8.02699183588319,6.96922665804463,7.36505738240594,6.54268158176823,7.21187296710107,7.91255107200937,7.68425247724687,7.63390193579552,7.12001835714418,7.78565212688172,7.69139840661203,7.95227593288261,8.20423002563037,7.94255117244132,7.68552210207467
10001,7.24783430382567,8.0735070784779,7.76051714642214,8.04696154216287,8.00865614381521,7.81098246388358,7.32512835439482,7.77153143858438,7.35913049721416,7.38003563844831,7.82544035366549,7.64767109534978,7.49250880821701,7.34846186684244,8.01954501430477,7.25607750852928,7.48182559555715,7.52667781100856,8.23746744548121,8.09607468201219
10002,4.92403832809176,5.0485695576167,4.95336666648699,5.24914151419452,5.11877464934907,4.9626473301138,4.99822853646036,5.19173501663988,5.13858497060166,5.05265508357386,4.95665339100701,5.03311709310604,5.00186573067406,5.12862170058183,5.05296120226671,4.91699567168454,5.03586821482615,4.99281949647952,4.99670119611145,5.02918662388779
10005,8.49348375636097,8.27963850953925,8.2707611629854,8.05925838145901,8.2259641990522,7.99879245265803,8.42211182346136,8.1950596825595,7.82366030916778,8.29243449607782,8.20582894492639,8.05358599417259,7.99993415301598,7.53551431828336,8.02967864020163,8.08486026259487,8.32922775053623,8.09506680661298,7.90855654502707,8.05232683815451
10006,8.36604988221623,8.10258341606188,8.09074031396815,8.55525579821816,8.6898261922902,8.57437094373654,7.9446315629706,8.46158697978057,8.06021552703795,8.27390617429093,8.53554703994096,8.21002195441725,8.23455928900477,8.58697183333015,8.68061359292347,8.27340854526607,8.20019619126983,8.14282386810973,8.53437649793604,8.72396997748661
10007,7.9089030457013,7.00625216360924,7.68683709337569,7.04422104738036,7.37552680129042,7.36322491517256,7.22178232705149,7.21175871817112,6.33549358366109,7.55638802881335,7.62292096082526,8.1159743434286,7.70240191253874,7.01727937871433,7.84711345209254,7.89187560638194,8.08038189316139,7.49686299388715,7.30894038231819,7.79779929993177
10009,4.32981821742092,4.46159356319915,4.3254605652663,4.57462913085025,4.39750928894257,4.43326998030743,4.41882844173199,4.44153144938337,4.49011195217762,4.36872586737757,4.33830168261604,4.38666698983999,4.40710595687193,4.42105233852872,4.43249691445549,4.41152490963332,4.36128408770731,4.37596513894409,4.48046382761024,4.48371840395947
10010,6.82409537763884,6.83988409405473,6.34527404845799,7.94574831337608,8.11410123221576,7.98158066389506,6.75930476131138,6.88566216377229,6.5977225604627,6.96229401972913,7.42724619943241,7.14668901871389,7.18361284967166,7.02149094210505,7.38121903979947,6.7294028140806,6.76281207790638,6.62391885685571,6.98373517090997,6.9024627937627
100129250,8.41449903483821,8.34680108319691,8.62383360490074,8.31488962277789,8.63479623446934,8.76778995078385,8.60111377631935,8.58515697531359,8.76817095882255,8.54973729818951,8.70118714019032,8.73214646313533,8.81680090178718,8.92403210325148,8.89806580017418,8.77028420520085,8.8492147962585,8.75565853330188,8.78038902313844,8.82921873561187
100129361,8.67582243958844,8.65612265349208,8.92677260671525,8.02144287924736,8.48469107458218,8.66568479996328,8.64715207403923,8.87948867955407,8.02530967932117,9.1147481487378,9.53113587237494,9.13323836016345,9.14354734671464,8.9753011713284,9.33077867431308,9.27973237065696,9.23400627560961,9.21748506446216,9.44327512318206,9.32668830488052
100129482,5.85875425404839,5.48299287973537,5.82739297061152,5.5814195337829,5.34275611043153,5.66792975311887,5.35429632430381,5.82284933182955,5.36111295251535,5.97828305485952,6.04352311542871,6.00958973723533,5.63574807241405,5.52943439233711,6.05073579485881,5.97135493215451,5.98360774601289,5.83057297594774,6.0021318791055,5.80241725721044
10013,8.73322227280183,8.60112797663824,8.44875808788215,8.35018663388735,8.92481519486765,8.73150059606635,8.95162783908252,8.76050003902626,8.58800373649274,8.57315497785277,8.89462394608592,8.67310541940735,8.46542895491799,8.55606958221165,8.4936736610559,8.76278110569191,8.95892915336132,9.03245308057436,8.69449583199702,8.5586722185983
100130958,4.39441551370402,4.46243482674761,4.37416660036918,4.70061250985168,4.43122682361233,4.59940862273046,4.49633968167877,4.50055520523607,4.33656951306431,4.4654860096233,4.37047755874012,4.50827380444514,4.33377512543863,4.1794636843841,4.35320330000722,4.39337964844943,4.42218647225135,4.42526534698761,4.37837069465878,4.44509445091427
100132341,8.50196909979441,7.75164645968847,8.44561301350707,8.03486406125473,7.83747038282413,8.1033716035678,8.36356947100319,8.47330704049424,8.56074399610366,8.81741064574945,8.11793480710957,8.27359767353563,8.37065965402925,7.90121656051324,8.32361278532762,8.80536052160189,8.12284503699622,8.43429022853924,8.32998765125721,8.82167264621287
100132476,4.65281568034098,4.72746519612934,4.66426476188271,4.62549474269777,4.72256386076944,4.88281097737895,4.65398259361699,4.81846159847674,4.56909023149013,4.67444799988528,4.61403599625713,4.66340803258566,4.72572873329827,4.56777307478701,4.66037278111061,4.60613207219308,4.60504573661538,4.67268878076083,4.72296966814992,4.69103683104174
