sample	cluster	color
EC5_03.signal	EC2	cyan
EC5_02.signal	EC2	cyan
EC5_01.signal	EC2	cyan
EC3_03.signal	EC2	cyan
EC0_02.signal	EC2	cyan
EC4_15.signal	EC5	yellow
EC4_14.signal	EC5	yellow
EC4_13.signal	EC5	yellow
EC4_12.signal	EC5	yellow
EC4_11.signal	EC5	yellow
EC4_10.signal	EC5	yellow
EC4_09.signal	EC5	yellow
EC4_08.signal	EC5	yellow
EC4_07.signal	EC5	yellow
EC4_06.signal	EC5	yellow
EC4_05.signal	EC5	yellow
EC4_04.signal	EC5	yellow
EC4_03.signal	EC5	yellow
EC4_02.signal	EC5	yellow
EC4_01.signal	EC5	yellow
EC0_01.signal	EC5	yellow
EC3_10.signal	EC3	green
EC3_09.signal	EC3	green
EC3_08.signal	EC3	green
EC3_07.signal	EC3	green
EC3_06.signal	EC3	green
EC3_05.signal	EC3	green
EC3_04.signal	EC3	green
EC3_02.signal	EC3	green
EC3_01.signal	EC3	green
EC2_08.signal	EC1	blue
EC2_07.signal	EC1	blue
EC2_06.signal	EC1	blue
EC2_05.signal	EC1	blue
EC2_04.signal	EC1	blue
EC2_03.signal	EC1	blue
EC2_02.signal	EC1	blue
EC2_01.signal	EC1	blue
EC1_13.signal	EC4	red
EC1_12.signal	EC4	red
EC1_11.signal	EC4	red
EC1_10.signal	EC4	red
EC1_09.signal	EC4	red
EC1_08.signal	EC4	red
EC1_07.signal	EC4	red
EC1_06.signal	EC4	red
EC1_05.signal	EC4	red
EC1_04.signal	EC4	red
EC1_03.signal	EC4	red
EC1_02.signal	EC4	red
EC1_01.signal	EC4	red
HAART_32.signal	HAART	grey
HAART_31.signal	HAART	grey
HAART_30.signal	HAART	grey
HAART_29.signal	HAART	grey
HAART_28.signal	HAART	grey
HAART_27.signal	HAART	grey
HAART_26.signal	HAART	grey
HAART_25.signal	HAART	grey
HAART_24.signal	HAART	grey
HAART_23.signal	HAART	grey
HAART_22.signal	HAART	grey
HAART_21.signal	HAART	grey
HAART_20.signal	HAART	grey
HAART_19.signal	HAART	grey
HAART_18.signal	HAART	grey
HAART_17.signal	HAART	grey
HAART_16.signal	HAART	grey
HAART_15.signal	HAART	grey
HAART_14.signal	HAART	grey
HAART_13.signal	HAART	grey
HAART_12.signal	HAART	grey
HAART_11.signal	HAART	grey
HAART_10.signal	HAART	grey
HAART_09.signal	HAART	grey
HAART_08.signal	HAART	grey
HAART_07.signal	HAART	grey
HAART_06.signal	HAART	grey
HAART_05.signal	HAART	grey
HAART_04.signal	HAART	grey
HAART_03.signal	HAART	grey
HAART_02.signal	HAART	grey
HAART_01.signal	HAART	grey
HIVneg_10.signal	HIVneg	black
HIVneg_09.signal	HIVneg	black
HIVneg_08.signal	HIVneg	black
HIVneg_07.signal	HIVneg	black
HIVneg_06.signal	HIVneg	black
HIVneg_05.signal	HIVneg	black
HIVneg_04.signal	HIVneg	black
HIVneg_03.signal	HIVneg	black
HIVneg_02.signal	HIVneg	black
HIVneg_01.signal	HIVneg	black
HAART_32.signal	HAART	grey
HAART_31.signal	HAART	grey
HAART_30.signal	HAART	grey
HAART_29.signal	HAART	grey
HAART_28.signal	HAART	grey
HAART_27.signal	HAART	grey
HAART_26.signal	HAART	grey
HAART_25.signal	HAART	grey
HAART_24.signal	HAART	grey
HAART_23.signal	HAART	grey
HAART_22.signal	HAART	grey
HAART_21.signal	HAART	grey
HAART_20.signal	HAART	grey
HAART_19.signal	HAART	grey
HAART_18.signal	HAART	grey
HAART_17.signal	HAART	grey
HAART_16.signal	HAART	grey
HAART_15.signal	HAART	grey
HAART_14.signal	HAART	grey
HAART_13.signal	HAART	grey
HAART_12.signal	HAART	grey
HAART_11.signal	HAART	grey
HAART_10.signal	HAART	grey
HAART_09.signal	HAART	grey
HAART_08.signal	HAART	grey
HAART_07.signal	HAART	grey
HAART_06.signal	HAART	grey
HAART_05.signal	HAART	grey
HAART_04.signal	HAART	grey
HAART_03.signal	HAART	grey
HAART_02.signal	HAART	grey
HAART_01.signal	HAART	grey
HIVneg_10.signal	HIVneg	black
HIVneg_09.signal	HIVneg	black
HIVneg_08.signal	HIVneg	black
HIVneg_07.signal	HIVneg	black
HIVneg_06.signal	HIVneg	black
HIVneg_05.signal	HIVneg	black
HIVneg_04.signal	HIVneg	black
HIVneg_03.signal	HIVneg	black
HIVneg_02.signal	HIVneg	black
HIVneg_01.signal	HIVneg	black
