Term	n	N	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	27	153	1.76475841865273e-21	3.84717335266295e-19	15.5958576739246	745.267914738924	RPL30;RPL3;RPL31;RPLP1;RPL12;MRPL10;RPS4X;RPL7A;RPS15A;RPL18A;RPS18;RPL14;RPS3;RPS2;RPL18;RPS13;RPS12;RPS9;RPL21;RPS8;RPL13A;RPSA;RPS27;RPL27A;RPL24;RPS20;RPL26
Human cytomegalovirus infection	17	225	4.58757517572619e-08	5.00045694154155e-06	5.71119382409705	96.5039218488157	PRKCB;HLA-B;CXCR4;HLA-A;PIK3R1;RHOA;HLA-E;NFKBIA;GNA13;NRAS;PPP3CC;CCL5;GNAS;KRAS;B2M;CALM2;JAK1
Natural killer cell mediated cytotoxicity	13	131	7.66967325733691e-08	5.57329590033149e-06	7.6246631131341	124.917956958403	PRKCB;IFNGR1;PRF1;HLA-B;GZMB;HLA-A;PIK3R1;ITGAL;HLA-E;NRAS;PPP3CC;KLRD1;KRAS
Epstein-Barr virus infection	15	201	3.37000717449489e-07	1.83665391009972e-05	5.6015382849271	83.4807376932862	MAP2K3;HLA-B;HLA-A;PIK3R1;ITGAL;RUNX3;HLA-E;NFKBIA;PSMD6;PSMC2;CIR1;VIM;HLA-DRB3;B2M;JAK1
Human immunodeficiency virus 1 infection	15	212	6.66605079507859e-07	2.90639814665427e-05	5.28578138266163	75.1694567459523	MAP2K3;PRKCB;HLA-B;CXCR4;HLA-A;PIK3R1;TNFRSF1B;HLA-E;NFKBIA;NRAS;PPP3CC;KRAS;B2M;CALM2;SKP1
Human T-cell leukemia virus 1 infection	15	219	1.00571541727835e-06	3.65409934944468e-05	5.10257483776429	70.4655962236898	HLA-B;SLC2A1;HLA-A;PIK3R1;ITGAL;ETS1;HLA-E;NFKBIA;NRAS;PPP3CC;KRAS;HLA-DRB3;B2M;RAN;JAK1
Antigen processing and presentation	9	77	2.01653847837153e-06	5.53505249762862e-05	9.05533920885427	118.752878745624	CD74;CD8A;HLA-B;PSME1;KLRD1;HLA-A;HLA-DRB3;B2M;HLA-E
Graft-versus-host disease	7	41	2.11643066816247e-06	5.53505249762862e-05	14.0128231223285	183.088457583501	PRF1;HLA-B;GZMB;KLRD1;HLA-A;HLA-DRB3;HLA-E
Viral myocarditis	8	59	2.41281536404646e-06	5.53505249762862e-05	10.7042483660131	138.456415727363	PRF1;HLA-B;HLA-A;ITGAL;HLA-DRB3;ACTB;EIF4G2;HLA-E
T cell receptor signaling pathway	10	101	2.53901490716909e-06	5.53505249762862e-05	7.53592561284869	97.0908639333986	NFKBIA;CDC42;NRAS;PTPRC;PPP3CC;CD8A;CBLB;KRAS;PIK3R1;RHOA
