p.geomean	stat.mean	p.val	q.val	set.size	GSM155179.CEL	GSM155181.CEL	GSM155183.CEL	GSM155185.CEL	GSM155187.CEL
Transcriptional misregulation in cancer	0.00334868793127785	-2.68857260620873	1.36491936277248e-09	3.89002018390155e-07	108	0.000314878482691519	0.00241156867919541	0.00452605418570184	0.0170409061207221	0.00985578943537508
Parathyroid hormone synthesis, secretion and action	0.00831418778014483	-2.35484119062692	1.04579055230331e-07	1.49025153703222e-05	71	0.0234767832787178	0.00342500200380853	0.00642741718406281	0.0197572859071905	0.00889102002691837
Rap1 signaling pathway	0.0160244383081258	-2.03212678323297	3.21777644093737e-06	0.00030568876188905	127	0.00842763175771355	0.00910908092416495	0.0410541534060559	0.0335670092634933	0.0385495636842886
PI3K-Akt signaling pathway	0.0180891387998785	-1.9611456165443	6.30315929088882e-06	0.000449100099475828	210	0.00612301470558274	0.02378472821859	0.115707333398944	0.0278619199089752	0.0150623697062751
Focal adhesion	0.0164839913554627	-1.86113570580919	1.84144696129881e-05	0.00104962476794032	133	0.0105989555225572	0.0109027358386526	0.223952478896541	0.0345821425870181	0.0200485168798895
ECM-receptor interaction	0.0246197167731359	-1.75172722014706	6.49336575141877e-05	0.00308434873192391	45	0.00164379335055541	0.0460037553584311	0.320186691948347	0.0897188301980469	0.0168881494033233
Signaling pathways regulating pluripotency of stem cells	0.0400112388808399	-1.69583384609175	8.4612572257591e-05	0.0034449404419162	76	0.0130265893346274	0.0343674940116358	0.0128430854613962	0.191696087704557	0.103524289109248
Prostate cancer	0.0484543345233511	-1.640218658298	0.00013540377341143	0.0048237594277822	76	0.0469571183687949	0.0583974623404697	0.0290621221764044	0.0942665473638605	0.0455136681032079
Pathways in cancer	0.0475600823901041	-1.6153179149059	0.000155386118256784	0.00492056041146482	349	0.0401844424930033	0.0371647640269261	0.0643721743862167	0.119435522215293	0.033357867800448
MAPK signaling pathway	0.038178091158682	-1.60725486624017	0.000172817663054177	0.00492530339704406	189	0.151445344438289	0.0269085145648	0.0409101408965107	0.0302763758969921	0.0769149034091631
Aldosterone synthesis and secretion	0.0554408299533351	-1.5772293919843	0.000239297118526678	0.00528883038101772	52	0.0478069961010732	0.034952045206405	0.0603082548894082	0.127458915730793	0.0505369808854494
Cytokine-cytokine receptor interaction	0.0361104436776345	-1.57023560182112	0.000243839347189387	0.00528883038101772	132	0.0329132073290668	0.00625089755367187	0.211680730646289	0.171289355494196	0.0435224425295335
Type II diabetes mellitus	0.0570750387728024	-1.59018014080775	0.000252507341427052	0.00528883038101772	24	0.0560506026710083	0.0325017746102847	0.0453020417872819	0.103844632408861	0.0821110286358889
Insulin secretion	0.054882139239657	-1.57214591347835	0.000259802194155256	0.00528883038101772	43	0.0499093296201527	0.0378594156350516	0.0657614831676937	0.131500600644741	0.0435521719296052
Relaxin signaling pathway	0.0552674745875585	-1.53194492898515	0.00033205287374064	0.00599070286148367	90	0.0420403408026431	0.0423411054829332	0.0755169053541427	0.107022321951868	0.0692361637592294
Gastric cancer	0.0617971087234975	-1.52850766250764	0.000336320160644697	0.00599070286148367	90	0.0466200075931384	0.0482002880592259	0.0334929182723692	0.151924505491706	0.0803613092883868
JAK-STAT signaling pathway	0.0551190057248685	-1.50983370655959	0.000396923476642052	0.00665430534370498	98	0.101312671271352	0.0120265784258919	0.140606170210575	0.105415610991075	0.0502344205108124
Basal cell carcinoma	0.0656765038322439	-1.50352883753169	0.000476489190174538	0.00727960089755344	29	0.0769613016831209	0.0246981824721528	0.142101539319999	0.0898529884810349	0.0565360777949113
Protein digestion and absorption	0.0592572519573545	-1.49530190502995	0.000496362961977514	0.00727960089755344	41	0.0109111133039561	0.0730730198340753	0.246974765722723	0.106086058120827	0.0460860396952394
Dilated cardiomyopathy (DCM)	0.0457207692567311	-1.49372268866507	0.000510849185793224	0.00727960089755344	46	0.0187340354231652	0.0416926391486441	0.219071297235532	0.150013760653453	0.042660038656809
FoxO signaling pathway	0.0692551029280093	-1.45657333988452	0.000592400796161664	0.00796504869675648	106	0.0770683683705247	0.099376309268054	0.0719460947029031	0.0690389275677111	0.0552599228211857
Hypertrophic cardiomyopathy (HCM)	0.0432641918049647	-1.47436514493879	0.000614845864311026	0.00796504869675648	42	0.0149952898414247	0.0735347061511187	0.340084537094541	0.0753699842746877	0.0394229512537256
Insulin signaling pathway	0.0713354599026637	-1.44071838555865	0.000672027140350298	0.00832729282607977	97	0.0999465328260215	0.0600687837293796	0.0589536401458876	0.115833372589594	0.0577450292098856
