p.geomean	stat.mean	p.val	q.val	set.size	EC2_08.signal	EC2_07.signal	EC2_06.signal	EC2_05.signal	EC2_04.signal	EC2_03.signal	EC2_02.signal	EC2_01.signal
Ribosome	5.52892499553202e-10	-5.53022664753997	1.26742815604917e-47	3.25729036104636e-45	101	7.2819428994235e-15	0.000914044133475043	0.00101246178425907	6.11401783865613e-05	2.78682892633266e-08	1.38797426714312e-11	1.33227473179764e-09	1.77694056945254e-07
Human T-cell leukemia virus 1 infection	0.00745925768834603	-2.04770671078708	5.49237846684203e-09	7.05770632989201e-07	120	0.00749603682023888	0.160445716120928	0.0326102176550496	0.0332163878641352	0.0342007119031804	0.00206787535773294	0.000513448832666574	0.138656589928715
Parkinson disease	0.019819353795839	-1.78158520271805	3.84673220441329e-07	3.29536725511405e-05	63	0.0558624905502014	0.3231806224553	0.159005866577455	0.00104960007573903	0.0134891280346021	0.0417350791422031	0.0129765283970557	0.0457491354212671
Huntington disease	0.0195553395157978	-1.74263483573582	6.04409736891888e-07	3.88333255953038e-05	84	0.0780318665656399	0.0905956257282832	0.115797562184411	0.0249843022820175	0.0728855722098104	0.00435935794142663	0.00187233570442918	0.20010125935182
Human immunodeficiency virus 1 infection	0.0179860699079503	-1.71705228868651	8.05329029440192e-07	4.13939121132259e-05	103	0.0137448948017149	0.198289938375234	0.0403735563256593	0.0190875135417433	0.103800386714486	0.00521002547830459	0.00549102690881282	0.37019396334646
Long-term potentiation	0.0330025305763754	-1.7117785583683	1.25619232752585e-06	5.38069046956907e-05	28	0.00943148316231868	0.100969732324425	0.0230839046495352	0.0466905610048075	0.0538819325400893	0.0414482882179283	0.0185318040607071	0.277499119683975
RNA transport	0.022149081282035	-1.64382212019726	2.29159802713249e-06	8.41343847104359e-05	82	0.0012415561914685	0.0756151410551321	0.0226350884718388	0.112704826749833	0.0130059389474923	0.0976301487548368	0.0272165729520357	0.56231979022068
Regulation of actin cytoskeleton	0.0235582864181455	-1.6262087828285	2.72980269698787e-06	8.76949116407354e-05	90	0.0904559925790336	0.161176730730819	0.0130326496516877	0.0870760385542515	0.0678248261641637	0.00970895585634932	0.00530002490813412	0.287101425577137
Alzheimer disease	0.0433783149791204	-1.57677130649957	5.03804293009418e-06	0.000142329721885947	75	0.102611948806374	0.0980776996306685	0.134747763510045	0.006748303096672	0.0434927392589825	0.0470081699666551	0.0232190023354936	0.16415560831954
Epstein-Barr virus infection	0.0247541893204743	-1.56847063002255	5.71088109500668e-06	0.000142329721885947	110	0.0108702470645064	0.163577358835393	0.0326535015655601	0.0823563510457639	0.0331826154974079	0.0058484733096233	0.0221628316541501	0.678416205661223
T cell receptor signaling pathway	0.0304003774806173	-1.57311652773152	6.1440498199766e-06	0.000142329721885947	60	0.00534821320280699	0.158728142531025	0.0229850544976087	0.0972012052215205	0.0912147583789722	0.0265648104523948	0.0242348999532394	0.389296909216724
Protein export	0.0369114136098219	-1.62700085533648	6.64574576899364e-06	0.000142329721885947	17	0.0187622925590527	0.231924533765611	0.00938851600975687	0.0260077611763112	0.118493041561075	0.00276762767723466	0.0442365557759766	0.672610407745361
Viral carcinogenesis	0.0286485746789627	-1.54342580711093	7.74251184965077e-06	0.00015306350348925	107	0.00808969103955349	0.254096645691639	0.01933335968985	0.290401578127103	0.0504321379740509	0.0385898867008568	0.0156472945986225	0.16457211186598
Pathways in cancer	0.0339348001351945	-1.51191504758701	1.03150447001564e-05	0.000189354749138585	207	0.00995228529676645	0.262606630943774	0.0103308655205833	0.0445656280176319	0.0352313362924993	0.0285711245736166	0.0222538397655917	0.743661075005873
Spliceosome	0.0349730950204638	-1.51672709241761	1.12323013779492e-05	0.000192446763608863	81	0.0070269492363676	0.109043774027445	0.0505906004103742	0.0849508703279164	0.0342288104829522	0.0189573870963585	0.0707321915156037	0.531071387811688
Non-alcoholic fatty liver disease (NAFLD)	0.0406391361473862	-1.50246453722902	1.36418632286812e-05	0.000219122428110692	74	0.0671642769237892	0.17156979898003	0.153026022717157	0.0149577718453572	0.0464699266877887	0.0222888352094264	0.0336813608441094	0.239658432270003
Oxytocin signaling pathway	0.0493348764246432	-1.46636292608683	2.09589626400272e-05	0.000310388212296687	57	0.0294328278815915	0.190050214419639	0.0254715224031381	0.148469775131171	0.0442079543838446	0.0970724642106123	0.0140398131907319	0.265401894824337
Bacterial invasion of epithelial cells	0.0528022139855596	-1.4757849517459	2.17392522231143e-05	0.000310388212296687	34	0.03765909632966	0.0760376269116416	0.0570788549437682	0.143341928520716	0.211897937684101	0.0216125601989295	0.0200502095826672	0.202411286032155
Amphetamine addiction	0.0510120140926683	-1.47545192239361	2.4457912147375e-05	0.000330825443256599	28	0.0198323197504225	0.174393354646796	0.0570025020295493	0.0882121185183429	0.0579455406586309	0.0746836371035824	0.00968224584073285	0.418160503170786
Human cytomegalovirus infection	0.0409650724392467	-1.41306686018478	3.74005054053077e-05	0.000480596494458204	103	0.0091885762287037	0.237802562214686	0.0243008825451981	0.132333725286222	0.147154977137817	0.0486110519846219	0.0299449286446567	0.324803371148522
Kaposi sarcoma-associated herpesvirus infection	0.0461114263307224	-1.39939702264099	4.46469340973641e-05	0.000546393431572503	87	0.0211715282689701	0.417909254478714	0.0444187478919974	0.0478378042206107	0.0525867545867843	0.0771218704505042	0.0162503070845799	0.384600530411222
Proteasome	0.0440127258057108	-1.41627233937237	5.21287445191192e-05	0.000608958515518802	32	0.0840331000242628	0.0501357243058656	0.107121739569671	0.102398863118198	0.0217467404060618	0.00442609137497463	0.0808852512095069	0.723124361993173
Oxidative phosphorylation	0.0530355468864731	-1.38459533757806	5.69271633249356e-05	0.000636099172804715	60	0.212789162018012	0.204698847536996	0.19256073904009	0.0187869551222419	0.0326876267264991	0.0403012885314725	0.0457571084558122	0.142798153442019
Alcoholism	0.0498429284354658	-1.37651630934384	6.07660994878041e-05	0.000639949710907065	65	0.0379626951289296	0.198194935772856	0.124623332892567	0.140612289052452	0.0682330241393574	0.220827698718192	0.00924471305924798	0.0803287644772822
Thyroid hormone signaling pathway	0.0625858005384126	-1.36894803333772	6.44777236367621e-05	0.000639949710907065	57	0.0320765415754861	0.163193968193686	0.017672612934739	0.107721446668791	0.0767087828623251	0.0453508430725912	0.0697996196466445	0.477562015798762
ErbB signaling pathway	0.0669196013500613	-1.37355569488117	6.47419940995475e-05	0.000639949710907065	40	0.0251755464792304	0.0791392815053375	0.0255747039992642	0.0901603180430112	0.156987716265644	0.0480947707428155	0.05128094260892	0.553814776668838
Necroptosis	0.0473714798486203	-1.34861388304974	8.04853192535338e-05	0.000766101001783636	80	0.0256619228944587	0.256083372203592	0.0469859015163031	0.168589157238581	0.0555506732453326	0.0553366979341387	0.032814097968009	0.342776742587879
Hepatitis B	0.0545574878979502	-1.34349201200167	8.42863426557616e-05	0.000773628216518954	80	0.0113139870226513	0.279707174110284	0.0219953533850827	0.129318289417247	0.0735736937879762	0.0650213589645875	0.0263639500914331	0.605433389719455
Systemic lupus erythematosus	0.0436641152026264	-1.34251468072368	0.00010243028394654	0.000907744240491749	48	0.0774768386284465	0.226590134029877	0.0752414966506619	0.105532847063951	0.104234736082484	0.218181790405869	0.0562456894949552	0.0218097898483673
Leukocyte transendothelial migration	0.0566147119602838	-1.31207699645975	0.000124829944356938	0.00106937652332443	57	0.0318605376822462	0.185140555805195	0.0229865740155473	0.260337087457078	0.243511552884856	0.0278362073350699	0.0375126973758922	0.280131749339679
Wnt signaling pathway	0.0714007515317447	-1.28932701620582	0.000156070667844621	0.00129387618180863	52	0.0325610560890077	0.146899496556026	0.0358063124046736	0.0973875690803075	0.111070100464841	0.0768349648193795	0.0293757307311876	0.630615453950576
Cellular senescence	0.0538687638433753	-1.27711789608795	0.000176507990274763	0.00141757979689419	82	0.00352552432122471	0.167931068507047	0.0815675630222908	0.184229666388916	0.169824205027022	0.075968025179274	0.0278847290669727	0.557812731848086
Fc gamma R-mediated phagocytosis	0.0806557939232597	-1.26890868586513	0.000202073068033707	0.0015737205601413	41	0.0547564811705699	0.171423655547063	0.0511173291823576	0.181992564102533	0.215005488815531	0.0164986581523675	0.0515307758962296	0.35836297012056
Measles	0.0575208677513372	-1.25720989184115	0.0002218103855863	0.00167662556163762	69	0.0483680227065032	0.44986013303576	0.0577000468022944	0.0686123323908698	0.0176720803872741	0.036401522844913	0.0205433138891188	0.8032407568128
Influenza A	0.0581699869536885	-1.24120617427625	0.000255219816284966	0.00187404265100675	86	0.0465757960346703	0.222470084925619	0.016672039621827	0.157286745217958	0.0404342214200197	0.102407817204898	0.0662543055929092	0.60448399602924
Proteoglycans in cancer	0.0790322496780672	-1.18695721645263	0.000428842854848595	0.00306146149155802	91	0.0176228739930011	0.123719140459915	0.0481319957991949	0.261266438011197	0.19633003473274	0.0831064942807398	0.0788443647363955	0.41624176301929
Legionellosis	0.0779030803949536	-1.20747979003825	0.000444673020015347	0.00308867476064714	27	0.0447990722394385	0.169375235696988	0.0587013198981027	0.243772824438552	0.0352853132494713	0.181463033445975	0.0709828638480185	0.382378382721459
MicroRNAs in cancer	0.0870326408769224	-1.17692889764761	0.000475920774209342	0.00321872734136318	78	0.0499748414722126	0.550018556609797	0.0284263254333229	0.159983274383926	0.032940155997356	0.158610823039791	0.0704865172879094	0.268860340189378
Th17 cell differentiation	0.0772314791422702	-1.17615997541936	0.0005129647753248	0.00338030633996086	57	0.040696513529758	0.46052036105345	0.0721295251655663	0.255397506262955	0.128040761100056	0.0542686212627231	0.0395216989814121	0.2031672998876
Thermogenesis	0.0815166284219469	-1.15701604830843	0.000580880104716296	0.0037321546728022	90	0.0783676913461924	0.0544164242110678	0.253843089710597	0.203783138257933	0.258960385472665	0.0877706297786136	0.0748634216872496	0.108389014830082
Chemokine signaling pathway	0.0813330475972626	-1.15235540248596	0.000621029999141213	0.00381356517570295	72	0.0205200975341794	0.410573784451438	0.0263078161688876	0.188835187894971	0.154218352296159	0.0675776174585291	0.0632687005276539	0.498735318126167
Colorectal cancer	0.0877773660272834	-1.15858537535123	0.00062322855011488	0.00381356517570295	43	0.067137504223399	0.257411399466296	0.0371153126891025	0.0987704542734472	0.0513063098143536	0.139034022069432	0.0713915215595118	0.608274048653863
Vibrio cholerae infection	0.107437442235281	-1.15072610259533	0.00068667373535435	0.00410407325548995	28	0.112878336456379	0.163516065002282	0.0518048888081978	0.104416517954548	0.0970250420264606	0.0523408846140441	0.138872333517751	0.51236235502172
Melanogenesis	0.0891007433233053	-1.14523294209401	0.0007381609742126	0.00424085646950031	32	0.0395671989964256	0.105351416970964	0.0698425249586021	0.262892660341645	0.169344764258485	0.132778190747415	0.0497855037608369	0.437787763312473
RNA degradation	0.0791730676871821	-1.13928907269421	0.000742562416838576	0.00424085646950031	49	0.0344946867456664	0.154948131843178	0.12181390961192	0.0997178451297278	0.0715889482040505	0.0368856862158976	0.141451235296674	0.732841063206633
Viral myocarditis	0.06867442196946	-1.14512392786918	0.000781245393855926	0.00430461787937919	36	0.130564356548984	0.259407253672595	0.140056703087195	0.14711465162287	0.447992651520141	0.0349557024784065	0.028679728945975	0.114261953088673
Adherens junction	0.07648158230007	-1.14184812897209	0.00078722583786312	0.00430461787937919	35	0.0898349813250343	0.132397058323251	0.0526598217490628	0.333540118695648	0.341452777874246	0.0520040979253537	0.014546394451279	0.414332183155328
Choline metabolism in cancer	0.105947156624533	-1.12939577172654	0.000809288948491963	0.00433306791171739	39	0.198442151368053	0.25821127625544	0.0233574144923552	0.0527484524708425	0.103127444850562	0.159443416001696	0.070897506275866	0.46684973266511
GnRH signaling pathway	0.0895116225540663	-1.1202440069566	0.000891640036470588	0.00467656100761104	42	0.0245239002498783	0.128006311290007	0.125429057575502	0.302674700155667	0.309860618461291	0.108921226643773	0.0396461140213201	0.279603522684458
Platelet activation	0.0887906824138453	-1.09731276874181	0.00108177619870541	0.00550942082476979	52	0.0187554626515198	0.187255531014148	0.0500862583145402	0.381759554603783	0.388819082365084	0.056115797269958	0.0789860996097614	0.316114147408531
