p.geomean	stat.mean	p.val	q.val	set.size	HAART_32.signal	HAART_31.signal	HAART_30.signal	HAART_29.signal	HAART_28.signal	HAART_27.signal	HAART_26.signal	HAART_25.signal	HAART_24.signal	HAART_23.signal	HAART_22.signal	HAART_21.signal	HAART_20.signal	HAART_19.signal	HAART_18.signal	HAART_17.signal	HAART_16.signal	HAART_15.signal	HAART_14.signal	HAART_13.signal	HAART_12.signal	HAART_11.signal	HAART_10.signal	HAART_09.signal	HAART_08.signal	HAART_07.signal	HAART_06.signal	HAART_05.signal	HAART_04.signal	HAART_03.signal	HAART_02.signal	HAART_01.signal
Osteoclast differentiation	0.0336690238947432	-1.75027840647379	7.536304653128e-23	1.51904873550701e-20	64	0.0356242261814986	0.0441439115410613	0.0209445170931565	0.0567616043447472	0.0990074106533152	0.0254715811977446	0.0165103316333777	0.0198195319905025	0.0319933648690903	0.0208607736738044	0.0479494913168434	0.0230320918897481	0.0234549302211394	0.0472310668052164	0.0390261225928702	0.0176277063971365	0.0442077421777681	0.0410045077491997	0.0159416205388375	0.0311047708557031	0.111849076811997	0.0205869017885622	0.115514242612556	0.00756039946657991	0.0195685646173151	0.142320263819881	0.0222887475745994	0.279798931045251	0.212044495067121	0.0436163092789813	0.0705110743392562	0.0553396970343926
IL-17 signaling pathway	0.0384617424281047	-1.75999158802971	1.18213909377978e-22	1.51904873550701e-20	35	0.0535386111814661	0.027666313751975	0.0285402118431606	0.0566796767110825	0.0181427666198393	0.0233066194362358	0.0415287384092357	0.21453186613727	0.0681412654562398	0.0340033221570313	0.0888900824764852	0.0222214060375615	0.0134666295241071	0.0504175186523012	0.0666335513458267	0.0426131882166228	0.031709941387785	0.146661866422619	0.0347473590478593	0.0982205150090244	0.0728254550473478	0.0365984140821024	0.0779666336143203	0.0347064078176955	0.0111948729887661	0.129713715468638	0.0208528263311038	0.110990092523737	0.0137069069895324	0.0198039936314683	0.0209873130064971	0.0146008777802968
Colorectal cancer	0.0308838682402905	-1.73484202979135	3.90671631302639e-22	3.3467536414926e-20	43	0.0124245459440066	0.0115945046978826	0.0133952228649403	0.0394052212034515	0.302312597580888	0.125912318676864	0.013527368072475	0.26300163833226	0.0158045884585188	0.0153629272071544	0.0598318975581162	0.0302804392566595	0.0519856633444406	0.0553600862386799	0.0720193436877905	0.048545714866123	0.0067972727764559	0.00788022933990657	0.00898087751830115	0.00374085406703335	0.00498014745742781	0.0145507558789818	0.0472670833972319	0.0116794157371419	0.042517663130783	0.226991223019839	0.0893067964672512	0.601893218653323	0.5237856005099	0.0270568919418352	0.0500428721032074	0.0605460331674155
Amphetamine addiction	0.0390328106418098	-1.70589274508161	5.02298051165332e-21	3.22726497873726e-19	28	0.0239281289362724	0.0190136684747787	0.0185543280322457	0.0728533727450633	0.160299822146273	0.0928898787936861	0.00540218017651546	0.0282433691174938	0.039902398465468	0.036470123338463	0.126286516096837	0.0635458198781726	0.0417579383352245	0.0884118440932647	0.0761535777789285	0.106412940948746	0.0218460875199015	0.0133182359553494	0.0167344841180412	0.0187800489722662	0.0176745845166869	0.0126218072826752	0.172631440648513	0.0031691809455467	0.0781567092059052	0.264985389741386	0.0852125019560464	0.358621271866083	0.252252097036563	0.0173183906317752	0.0488033122067526	0.0358737326995718
Parathyroid hormone synthesis, secretion and action	0.0451445672281439	-1.61412054441855	1.64011338111942e-19	8.1064503493959e-18	40	0.0414709691382129	0.030794996386046	0.0108158174250473	0.057261701160582	0.114298500993111	0.0710489344082595	0.00829072155265629	0.188382731775028	0.0576675376331055	0.0139246144943285	0.0910973443221116	0.0376583539384276	0.0455926803169978	0.113071804070378	0.0536507755352188	0.0498615748048921	0.0160859501193389	0.0558900129305668	0.0354521421008313	0.0389814243629764	0.0735004511724456	0.0111733022602786	0.198092311889184	0.00798283799741551	0.0568587974229935	0.226282922910128	0.115286829839052	0.556154713009356	0.286006103382274	0.00872917233708558	0.030247109514467	0.0443081851013988
Hepatitis B	0.0327578436791379	-1.59982706740433	1.91993053114757e-19	8.1064503493959e-18	80	0.00599090914602759	0.00951269626818197	0.0283054199080992	0.0542812494351753	0.235384753141464	0.117193018168157	0.00712197555531301	0.23594286422419	0.0197707715793032	0.0115680029557365	0.0623704337809715	0.0942289071892947	0.0566074634465257	0.0489306638169519	0.0689341935046036	0.173704924336282	0.00680894362499416	0.0112108167376961	0.00388903622238943	0.00198096109403639	0.011793744314534	0.0180794378131909	0.178589394649912	0.00285345310958982	0.0436084163665413	0.425268621491655	0.138498994751106	0.92699273561569	0.632724353952816	0.0340679157176668	0.124787412857904	0.037281760288247
Pathways in cancer	0.024588893453026	-1.5861308937498	2.20798258543857e-19	8.1064503493959e-18	207	0.00143910986281618	0.00914812873785826	0.0152411171568317	0.0439333368019144	0.196908952983865	0.375324136766116	0.00393347549439159	0.335580397284881	0.0199389246671017	0.0030571346738834	0.034698896222777	0.0289832150693699	0.0433721952130086	0.184361548009865	0.0569003046517219	0.0968743082747742	0.00389572810866099	0.00221981101216877	0.0218974314188326	0.00215910237481084	0.00163430399141698	0.00234133872939721	0.191444918597004	0.00547462581270402	0.0645860950170099	0.665580582390431	0.344607939859242	0.981808334249779	0.872113508791623	0.0195267569505523	0.0472949056182604	0.0706736559344755
Apoptosis	0.0382127613340731	-1.59085459971075	2.94554131961426e-19	9.46255148926081e-18	75	0.00282393804130774	0.0472968572182709	0.00987013353682476	0.0212223220937041	0.0988566077180342	0.237656959414803	0.0123403188216437	0.430430610968322	0.0218485481711679	0.00780002237488951	0.0607174548734463	0.109773137677789	0.0145662849624284	0.0327330732342175	0.0278646238562493	0.0728699458581149	0.0274274877260874	0.0224097607344765	0.0580344806885261	0.00268167037015494	0.0110653556818416	0.0250157840843598	0.184405119208967	0.0179375771734862	0.0241540997536705	0.602431683549929	0.085939325144498	0.77172757181772	0.481113612977926	0.0655378893279576	0.054557228661366	0.0717531968848015
Measles	0.0360636141700622	-1.55540185633981	2.03930135764465e-18	5.82333832127415e-17	69	0.00566941523798566	0.013196174890173	0.0243048291269047	0.0217875806736763	0.147840408321615	0.20300905340396	0.0180748805475284	0.382757259540398	0.0452790729117201	0.0127362828614962	0.0681889929683144	0.0481782528358821	0.0256610444491282	0.170046408409867	0.0353743635963813	0.269480054840547	0.00455041386428278	0.0356475646839067	0.0229812070990166	0.00189938961973281	0.0109621951353328	0.0288277451998732	0.09015962099216	0.00880167007370066	0.0291507855588257	0.497386704152934	0.160698525902412	0.927268099000353	0.673345674195678	0.027501202639938	0.0548209225312079	0.0252677780918651
Human T-cell leukemia virus 1 infection	0.0170675223968163	-1.5317873023064	6.49313779529513e-18	1.66873641339085e-16	120	0.00191017357479186	0.00659507697854831	0.0139684224657821	0.0527719224331579	0.325918061061608	0.463182594701589	0.00495295662581723	0.248644149624029	0.0671430587591303	0.00402215552985638	0.165809773034772	0.0973048911728431	0.089820372739854	0.468888045216776	0.0311525841023102	0.310883479676863	0.00171560481974969	0.00948023824407606	0.00911144624089127	0.00016911306457199	0.00139411719331338	0.0184324488782991	0.325143259026559	0.000147186977568006	0.0453785477678471	0.85151083197784	0.0936597711964015	0.992974462722667	0.688151626099982	0.0109051398564226	0.0551485127462208	0.0308046639948997
Chagas disease (American trypanosomiasis)	0.0460372704323228	-1.50024960430472	4.7833683603882e-17	1.11756878965433e-15	43	0.0151974241455865	0.0325426993261827	0.00521145732030063	0.0268105848810619	0.186307190969885	0.169075392229695	0.0171054531861962	0.239043149998423	0.0566133274797215	0.0191808748475976	0.0584977514910239	0.0590598329767949	0.0588124205472604	0.221711843470672	0.0193216272434572	0.0656976980912747	0.0306537277652067	0.0601772942111044	0.0400851438103603	0.0267788588518006	0.0293560527823351	0.0232263040599989	0.118659366870507	0.0100497880048443	0.0846666668233759	0.537744623028777	0.0871953514448815	0.844493256350482	0.521821426417166	0.0193472644029143	0.118358076461919	0.0339703399589559
TNF signaling pathway	0.0608814150838211	-1.4351902947408	5.88663431006183e-16	1.26072084807157e-14	52	0.0230729295730932	0.112228456310931	0.00887880603080566	0.126129717689611	0.146023621922727	0.115876461583849	0.0155198374968154	0.181177310478733	0.0656876868423316	0.0307762462195944	0.0815701889382492	0.0643676291582607	0.0399414554540573	0.0475702137568708	0.0408153316864557	0.0230297303387092	0.0754297322271407	0.0575530422712455	0.060271677283896	0.0323612551368727	0.0523456012536876	0.0378123041592094	0.172395668750875	0.0121598168827234	0.0981848145848234	0.480899321404065	0.0613575955425929	0.579914178852667	0.372946519782614	0.0837158934022263	0.200234818698455	0.0583331062562483
Non-alcoholic fatty liver disease (NAFLD)	0.0269064067701285	-1.41573045206947	1.59775096745307e-15	3.10472947450933e-14	74	0.00100803172561831	0.0378492403241579	0.0014291993201224	0.00461911745395811	0.365737135588319	0.623307447904274	0.00968622333208863	0.377631251418264	0.0263047933217066	0.00197245790767104	0.0263319558851569	0.0362211941530364	0.0341351567903907	0.0660720723094613	0.0590801272719328	0.224858397675408	0.00804269763050482	0.0284953239752626	0.018418560689786	0.00245051023228414	0.000778448725492189	0.0307812827703136	0.0558469328337992	0.0161107361943709	0.0479435110200258	0.978317752829944	0.489652401256979	0.996457707183168	0.982966135560344	0.162943022376444	0.0779605745279921	0.0214176165351537
T cell receptor signaling pathway	0.0392357772575143	-1.41804727393108	1.69129232074438e-15	3.10472947450933e-14	60	0.00869071832853304	0.017679865755184	0.00844168861255311	0.0465804182603622	0.422091116232043	0.217870335198993	0.00191752169838926	0.0588737511921459	0.078945409728234	0.0199695916035712	0.265385069989485	0.120204165878623	0.107749209551506	0.0719135477553479	0.0907751987767271	0.097321053645421	0.0114685346641977	0.0229943675536182	0.0187230651152526	0.0183106813917946	0.0215076061409281	0.0101926313675134	0.206341750904693	0.00327579123701456	0.071846095273094	0.792663064880083	0.135155202794908	0.891022173406975	0.834967943550178	0.0348904159823736	0.135416297241337	0.116869022970118
Relaxin signaling pathway	0.0708632871207248	-1.40243494067439	2.4507960540668e-15	4.19903057263445e-14	47	0.0722962892914264	0.0500376045954886	0.0904862781986342	0.260392174419349	0.147090744404258	0.0480579428766185	0.025146735464129	0.132492061751431	0.0795505124157763	0.062566518230164	0.153188535682983	0.041668168017828	0.0611222218660049	0.0992213277187909	0.09691057271148	0.0715252668004467	0.0667349489632824	0.0782785172877983	0.0190571001135876	0.0712151491941849	0.14709177734753	0.0783584408178441	0.121685456019277	0.0219666640348368	0.0882480160869542	0.0793075421339474	0.0793102358097796	0.353634186374583	0.143883810700773	0.0595894345970543	0.131179852955965	0.0411957575093479
Breast cancer	0.0752190698128906	-1.38873000069772	3.86850912685161e-15	6.21379278500539e-14	50	0.087784992251703	0.0670280799894738	0.0912568472172963	0.100464699405283	0.189808380314485	0.13218516486579	0.0553550283186803	0.194348729838785	0.0683524709900146	0.0314011931794382	0.158423046168304	0.0245374638876974	0.13676813886973	0.162638556866756	0.0830707113337035	0.0851115436986192	0.027987286358174	0.0538915289931533	0.0719167156165119	0.0398198042774987	0.0366121351982201	0.0231298844257863	0.074765593278443	0.0396887973106071	0.0497137586381091	0.157298188336505	0.105170048456951	0.375739774872959	0.430295240941782	0.0482225743797871	0.0622623518504922	0.0565309474872524
