p.geomean	stat.mean	p.val	q.val	set.size	GSM155179.CEL	GSM155181.CEL	GSM155183.CEL	GSM155185.CEL	GSM155187.CEL
Proteasome	1.07139456145384e-05	4.27942700276214	8.69026169185822e-19	2.47672458217959e-16	40	3.57383595888155e-07	2.58333391650428e-09	1.07111667233709e-05	0.171071118218163	0.000148002133023804
DNA replication	6.1458093426222e-05	4.01849386646315	3.76493576757515e-17	5.36503346879459e-15	33	3.20296256325036e-06	3.65695204925285e-07	0.0017465206384587	0.00668118720040152	7.67722461908678e-05
Cell cycle	0.00188762378795385	2.78898477875134	4.56719444197915e-10	4.33883471988019e-08	96	0.000785074863620598	2.23693342672121e-05	0.0486396688639434	0.0613727019246275	0.000579345448042852
Citrate cycle (TCA cycle)	0.00674996704575001	2.46990144775983	6.76589402844902e-08	3.86397518964015e-06	26	0.00989013778521101	0.000152363342098388	0.0225974427975193	0.0999404004636	0.00521927545671975
Oocyte meiosis	0.00637958391931528	2.38734337629173	7.12510938565316e-08	3.86397518964015e-06	82	0.0118305508763164	0.000330197037722853	0.193967757379544	0.010546531813695	0.00170361567503988
Nucleotide excision repair	0.00664520732795734	2.41581857172945	8.13468460976873e-08	3.86397518964015e-06	38	0.0008058442812514	0.000321112234366986	0.0293881495424864	0.155002836615238	0.0125581578729705
Homologous recombination	0.0108765640968499	2.32538943573194	2.71386792900877e-07	1.104931942525e-05	26	0.00319038283810654	0.00351142516485376	0.0264669505207307	0.0431788476449705	0.0165769638588678
Oxidative phosphorylation	0.00583383492707256	2.19512189258849	7.55592796708569e-07	2.69179933827428e-05	77	0.00276956241082524	8.27575864434327e-05	0.00276033814274359	0.602320706619413	0.0446711412220783
Fanconi anemia pathway	0.015356382049837	2.18468523736109	1.02617535494284e-06	3.24955529065231e-05	29	0.00546958381161253	0.00550533713611406	0.0742709195827501	0.022725169936029	0.0185283787595244
Parkinson disease	0.00480508438238994	2.13062841495094	1.54903089334772e-06	4.41473804604101e-05	84	0.00293196653944498	3.02202967598132e-05	0.000954940864443334	0.843986361590423	0.0581856904315662
Base excision repair	0.015759457347787	2.07983835827739	3.48331953781122e-06	9.02496425705635e-05	29	0.00432477408730745	0.00265561549304969	0.105150276695962	0.158467336082295	0.00856696321643686
Mismatch repair	0.0205874855298095	2.04288213473452	5.73471382150318e-06	0.0001361994532607	21	0.0122214907725388	0.00183947680976091	0.0389891505040064	0.146197328671447	0.0328372916584407
Influenza A	0.0195571773143532	1.93618087692424	8.72720673517985e-06	0.000191327224578943	121	0.00493452886344233	0.0328664220424572	0.104490475605428	0.0890431512903912	0.00493047223847401
Epstein-Barr virus infection	0.0162649456948021	1.90949754608221	1.11811474406126e-05	0.000227616215755328	162	0.0026618918611789	0.0083567794620181	0.0606403144240752	0.344906901821941	0.00932487927123251
One carbon pool by folate	0.0325299552705496	1.97751732652633	3.09438710867612e-05	0.000587933550648464	10	0.00981387666145915	0.0271777391088722	0.0769667059375473	0.123576297229576	0.0171677377343423
Hepatitis C	0.0281234298727268	1.77618594705385	3.99898975936173e-05	0.000712320050886308	117	0.0140638335876938	0.0236644784389822	0.24167501855467	0.0412683507337992	0.0137566088387775
RNA transport	0.0172815790232196	1.73629798939259	6.10609258018478e-05	0.00102366846197215	117	0.00317312420355525	0.00917430682581783	0.00446016824615029	0.709371573235485	0.07504642492001
Peroxisome	0.0403511991609965	1.7095474261727	7.79135155675368e-05	0.00123363066315267	60	0.103319416492535	0.0107885140731415	0.0433680128668463	0.0624221643028665	0.0497089572762743
Antigen processing and presentation	0.0323192074038127	1.6526054171951	0.000145210336829507	0.0021781550524426	52	0.115775552828449	0.024652459361367	0.166136139955828	0.10486174044712	0.00329737898551639
Thermogenesis	0.0391680025457194	1.50339811268005	0.0004225813910156	0.0060217848219723	123	0.0204689935709691	0.00170593520535514	0.067617241690897	0.645742414334489	0.0851918149363581
Huntington disease	0.0214866564494814	1.48214150489529	0.000522199438125564	0.00708699237456123	118	0.00672979442624209	0.000416316863691083	0.0107968011679843	0.939112248750238	0.221449494633812
Graft-versus-host disease	0.045433006051264	1.47132018968714	0.000742155993744929	0.00961429355533204	31	0.123369244492071	0.0392295081807962	0.269151883574756	0.0942874464434583	0.0119904436543421
