p.geomean	stat.mean	p.val	q.val	set.size	GSM630684.Signal	GSM630685.Signal	GSM630701.Signal	GSM630703.Signal
DNA replication	0.00111750172417663	2.68007364326153	2.26446607970688e-07	6.56695163114996e-05	36	0.0230357030047456	1.27199693820735e-05	0.606560123673317	1.62433885779365e-05
NOD-like receptor signaling pathway	0.00315114230050532	2.4338581359614	7.61790325536757e-07	0.00011045959720283	133	0.000615251545085605	0.0094816688954378	0.0362015136021846	0.012490535692635
Proteasome	0.00202288085260325	2.47854585047474	1.15656233360878e-06	0.000111801025582182	42	0.0532511656076741	0.00022110915089355	0.299532880548602	7.39661476377005e-05
Cell cycle	0.00616758203849412	2.07946817714435	2.10192801572596e-05	0.00152389781140132	107	0.0293964152690913	0.00089330583742171	0.677110655030257	0.000137238369597836
Hepatitis C	0.0148211063233554	1.9978801967822	3.69055947393625e-05	0.00214052449488302	128	0.0214870487526751	0.0597014431693106	0.0411803902450071	0.00454152762725051
Influenza A	0.0194989588612189	1.5845295084264	0.000852116303505509	0.0411856213360996	131	0.00359396841209492	0.147018007455257	0.539389406893124	0.00418854393202221
Oocyte meiosis	0.0263828846171262	1.5434939136747	0.00112767509524367	0.0467179682315234	96	0.0867540727960594	0.00844088820240904	0.714434616176318	0.00172320280419111
Homologous recombination	0.0408950809607156	1.52110955047457	0.00155091226921364	0.051437929261831	31	0.11006803862984	0.0118438176211504	0.593514255657326	0.00387012813259118
Measles	0.0462996718115547	1.48449237687269	0.00159634952881544	0.051437929261831	108	0.00861795841649742	0.20686068012912	0.148401586745842	0.0489840281690405
Epstein-Barr virus infection	0.0269865717702719	1.46669196240577	0.00179520413493887	0.0520609199132273	172	0.0392535373646789	0.0477909933308263	0.409179899208145	0.0150636696076185
Parkinson disease	0.0430421595642111	1.37528407991863	0.00328683138031785	0.0866528272992888	85	0.14014929227665	0.00903636840445456	0.723605058262519	0.0048658540619201
Fanconi anemia pathway	0.0653465022177216	1.35579349233556	0.00384219874953617	0.0928531364471242	37	0.148059793069835	0.0156993262192417	0.47447251384066	0.0192048331887135
