p.geomean	stat.mean	p.val	q.val	set.size	GSM155190.CEL	GSM155195.CEL	GSM155201.CEL	GSM155203.CEL	GSM155206.CEL
Proteasome	0.00708143936770177	2.23130093833987	7.77342741244305e-07	0.000221542681254627	40	0.0899460368691778	0.000112932838571094	0.000914124745183932	0.333720219060243	0.0151361779057255
Influenza A	0.0224737780455932	1.82962484611423	2.53196483118544e-05	0.00360804988443925	121	0.0553225991102611	0.025628886675565	0.00113800252387116	0.221577433997575	0.0446698345320534
Epstein-Barr virus infection	0.0261211641063605	1.6968894308129	8.22705322598805e-05	0.00781570056468865	162	0.100664369385706	0.014103443108317	0.00274702004113976	0.31977742331542	0.0437685908260743
NOD-like receptor signaling pathway	0.0362636520725919	1.66169583193663	0.000112617395210911	0.00802398940877744	111	0.0377046016978458	0.0188719930363442	0.0127793890548338	0.17969485729353	0.106816576894415
Hepatitis C	0.03024508176064	1.63793009949208	0.000142108519266087	0.00810018559816699	117	0.0150622160079837	0.0140273793618245	0.00381450438996388	0.442191703605098	0.174415073384801
Cytosolic DNA-sensing pathway	0.0495081958671126	1.57841931465964	0.000260289681384675	0.0123637598657721	39	0.0698984072954106	0.0314252874727895	0.0131009951887272	0.273570332449487	0.0551366484078039
Graft-versus-host disease	0.0363480025298681	1.51414758667078	0.000589414880719411	0.0232892504195548	31	0.216183466956885	0.0651827982016492	0.00505865433298764	0.0519070687561096	0.224387233768212
Antigen processing and presentation	0.0324241829731873	1.47629591201547	0.000653733345110309	0.0232892504195548	52	0.361381428306923	0.0456833829044412	0.000826403269984477	0.0566766946848351	0.339162096718268
Measles	0.0578787119191218	1.38957929419241	0.0010191971550317	0.0322745765760038	105	0.051665007495461	0.0243952514450205	0.0138770673580887	0.41197215906175	0.190848132563057
Autoimmune thyroid disease	0.0549736757606872	1.38584609862267	0.00129407372179308	0.0368811010711029	34	0.285522909843146	0.095562556591669	0.020004250241191	0.0219749642076193	0.21333074720096
Herpes simplex virus 1 infection	0.0717059394145553	1.31693287419758	0.0016602268167129	0.041960590880408	223	0.127381945127502	0.397622425300004	0.0236953338785155	0.0986772587620118	0.0289989822327563
Allograft rejection	0.0550598682216655	1.34971757125956	0.00176676172128034	0.041960590880408	31	0.32363333969705	0.0827280533802529	0.0188543934493297	0.0510283848736973	0.167209684010622
PPAR signaling pathway	0.0957638207187591	1.26372144578611	0.00259413428961363	0.0568714055799911	40	0.284601300229409	0.0787849733301413	0.146001030328192	0.0369004470061259	0.0769423113987128
Neuroactive ligand-receptor interaction	0.0208107195525194	1.25182744957243	0.00302370510477128	0.0578837360372203	125	0.519920415428187	0.102925916545863	0.21314543464594	1.20590159729256e-06	0.721616263159277
Phagosome	0.0398671367661889	1.24355313545758	0.0030465124230116	0.0578837360372203	107	0.123122840118214	0.0588353156349543	0.0343440468322258	0.0636684135724292	0.4746284141519
Type I diabetes mellitus	0.0721559160151857	1.17429134676373	0.0055358381221397	0.0986071165506134	31	0.383070137295674	0.0809493527840628	0.0233204338869212	0.113143708608549	0.216254829332571
