p.geomean	stat.mean	p.val	q.val	set.size	EC5_03.signal	EC5_02.signal	EC5_01.signal	EC3_03.signal	EC0_02.signal
Ribosome	4.00499705114196e-09	5.56176570303836	5.73070011947268e-32	1.47278993070448e-29	101	0.000168569815960185	8.32928370469542e-07	5.09662013335279e-10	2.3220495660873e-06	5.38312085246796e-13
Systemic lupus erythematosus	0.000135650274269813	3.73072090148332	6.59379308423681e-16	8.4730241132443e-14	48	0.00115556725051741	0.000945338897964777	2.24004689610827e-05	2.09215294717341e-05	0.000199823546858178
Epstein-Barr virus infection	0.000130171210986615	3.61779284792464	1.00233128794906e-15	8.58663803343024e-14	110	0.00226798872416924	6.24342855323619e-05	4.90537400672506e-06	0.000116805302749635	0.0014355020112904
Necroptosis	0.000184732817558551	3.60067306559692	1.82729433604077e-15	9.73839616471167e-14	80	0.00103042462771585	0.00014475481145672	1.92546061639227e-05	0.000332700535951487	0.000384221103647669
Spliceosome	0.000181433526034061	3.60252185860706	1.89462960402951e-15	9.73839616471167e-14	81	0.00131430283862072	0.000316591205422031	2.67603928642581e-05	0.000192212247734297	0.000182655768954766
Viral carcinogenesis	0.000178766182284245	3.53691041195572	4.07189456074287e-15	1.74412817018486e-13	107	0.0116637097875073	0.000238484473964374	7.64886385461259e-06	0.000150515060168019	0.000124336769206223
Non-alcoholic fatty liver disease (NAFLD)	0.000580716641745077	3.26643951105828	4.5906734831043e-13	1.68543297879687e-11	74	0.000982967512112863	0.000644847684990275	0.000613694809543773	0.000918911010600586	0.000467696737119512
Parkinson disease	0.000752779029020091	3.1539049251088	3.24480976485754e-12	1.04239513696048e-10	63	7.70307877116002e-05	0.000259343067457151	0.00270262040368932	0.00543676825047805	0.00276486303956033
Huntington disease	0.000719547228934402	3.1175882121779	4.22346424307316e-12	1.0906211050354e-10	84	0.000117604747865065	0.000109838164798042	0.00143195752866265	0.0113547993541049	0.00413705375265324
RNA transport	0.00087245904240099	3.1124733024397	4.24366188729726e-12	1.0906211050354e-10	82	0.00783341434030342	0.00164421041209932	0.000271666750143524	0.000989786037516553	0.00038299746160495
Human immunodeficiency virus 1 infection	0.00106624784612496	2.98689342550978	2.36487256538456e-11	5.52520226639846e-10	103	0.00128490490293513	0.000108913704019851	0.00288616026555472	0.00213625134111368	0.00862330048505831
Proteasome	0.00134099311158404	3.03748625187024	5.30702115707971e-11	1.13658703114124e-09	32	0.00226513371098822	0.000117484537387295	0.000132554791455472	0.00921108078688778	0.0274678701072212
Pathogenic Escherichia coli infection	0.00218213000387201	2.94314131701277	1.30452317563761e-10	2.57894197029897e-09	31	0.00248218110205292	0.00124184972732377	0.00111146345461311	0.00656248156116235	0.00289809705304176
Kaposi sarcoma-associated herpesvirus infection	0.00238960315867241	2.78650239870463	4.11508324591348e-10	7.55411710142689e-09	87	0.0210533482173529	0.00157518340981966	0.0021475806456401	0.00108955625671282	0.00236424652860641
Influenza A	0.00256610476466996	2.74515316934613	7.4250245296076e-10	1.27215420273944e-08	86	0.0282547514477881	0.00407211936433353	0.000232334576862141	0.000938024115153326	0.00922170241525686
T cell receptor signaling pathway	0.00273952251814957	2.74640535696248	9.28580736444869e-10	1.49153280791457e-08	60	0.0258135636107476	0.000745316817368181	0.00263431823776613	0.00282362301729322	0.00290836063149964
Endocytosis	0.00279409150432969	2.70589178451001	1.136057790939e-09	1.71745207218426e-08	104	0.00244939454627812	0.000145904541498976	0.0132663069544274	0.0193156024338438	0.00411366499416073
Oxidative phosphorylation	0.00265124920089024	2.72038955844006	1.38341362749542e-09	1.9752072348129e-08	60	0.000214970747630042	0.00112454453534485	0.00369701173446976	0.0424116565225675	0.0103059952320324
Alzheimer disease	0.00313568010833971	2.6965531223866	1.50134987210317e-09	2.03077324805534e-08	75	0.000665424507579259	0.000586974507113308	0.00314472295109787	0.0196702132216722	0.021908179462891
Cellular senescence	0.00400905946103788	2.6057735594911	4.61642263815402e-09	5.88285680393974e-08	82	0.0135910207648306	0.00220538776746775	0.021801076997482	0.00395955521890034	0.000919525444738437
Alcoholism	0.00427241536097072	2.61262305178782	4.80700361411418e-09	5.88285680393974e-08	65	0.0282556335395828	0.0221494928906741	0.00256250782441783	0.00107807478108158	0.00116730543088642
