p.geomean	stat.mean	p.val	q.val	set.size	EC3_10.signal	EC3_09.signal	EC3_08.signal	EC3_07.signal	EC3_06.signal	EC3_05.signal	EC3_04.signal	EC3_02.signal	EC3_01.signal
Ribosome	9.49129669222613e-08	4.44873039989532	1.64708608283312e-36	4.23301123288111e-34	101	0.00152342850696324	0.00272670568595922	1.77917259882447e-08	2.46892280646174e-09	2.77684717472455e-08	6.11999570452438e-08	5.99013857555856e-07	0.000350648176298715	0.0521413067972073
Systemic lupus erythematosus	0.00101133369680105	2.97691968946066	4.11288348646841e-18	5.28505528011191e-16	48	7.09979044459442e-06	0.00643436330081405	0.00481626046363807	6.63908524310728e-05	0.0222213661973458	0.009945566166404	0.000273770064984957	0.00130011775581192	0.0404921306411212
Viral carcinogenesis	0.00148752727899537	2.80285452319004	6.15216008667331e-17	5.27035047425014e-15	107	0.000448367729158093	0.00924721818946952	0.00222817390759301	4.77484925459912e-05	0.00692434046863143	0.00213579832003456	0.000598975368394925	0.00566224966438443	0.0921471649980792
Epstein-Barr virus infection	0.0021604095630942	2.60892023219265	6.10451560325404e-15	3.92215127509072e-13	110	0.00398703476485919	0.251042939231121	0.00490097996037232	2.07423301198251e-05	0.00304663990455015	0.00295531292720855	0.00269708290585011	0.00206998453899816	0.0232883075065248
Necroptosis	0.00360987820570144	2.55352522567109	2.52139692936788e-14	1.29599802169509e-12	80	0.00732718345428545	0.0685675438189942	0.00582576628746862	4.60333067837459e-05	0.00175713880280141	0.00722381233813905	0.00866338107122832	0.00302830067336551	0.040680764256632
Alcoholism	0.00630420941179161	2.43661881951907	3.43577328914885e-13	1.47165622551876e-11	65	0.00202801687488762	0.00566127672794741	0.0203831305828127	0.000887670821349248	0.0127703483200965	0.0353814514774273	0.0023305562347066	0.00912510085036958	0.0411045532774414
Human immunodeficiency virus 1 infection	0.00363550408180854	2.37152570729116	1.22255875860513e-12	4.48853715659313e-11	103	0.0385451639775322	0.25484283686182	0.0509402942987921	2.97500694040328e-05	0.000984060712193909	0.00850850710234861	0.00557310237235679	0.00304079029780361	0.01467639354665
Spliceosome	0.00695698014549906	2.29007339361396	6.68344382100137e-12	2.14705632749669e-10	81	0.0559624542283474	0.0108124117359608	0.00600264895209042	0.00799905759644406	0.013968848104167	0.00750519955639976	0.0304985631245664	0.00255972918042792	0.0145118561667537
T cell receptor signaling pathway	0.00787189988264656	2.27789009926244	1.01400459727974e-11	2.89554646112104e-10	60	0.0114243639210351	0.0919272991248983	0.0148883326115588	0.00239385936728445	0.00501647609728985	0.00192728206937533	0.0266281145060994	0.0112556979733653	0.0333245120585249
Pathogenic Escherichia coli infection	0.00950446296348207	2.30259990838174	1.25702969669042e-11	3.23056632049439e-10	31	0.0203915490857815	0.0672027009492331	0.0516277952589107	0.000880060240625134	0.000719522922791061	0.0497804440695631	0.0372837346486427	0.0037500194780354	0.00760982570155665
