p.geomean	stat.mean	p.val	q.val	set.size	EC1_13.signal	EC1_12.signal	EC1_11.signal	EC1_10.signal	EC1_09.signal	EC1_08.signal	EC1_07.signal	EC1_06.signal	EC1_05.signal	EC1_04.signal	EC1_03.signal	EC1_02.signal	EC1_01.signal
Systemic lupus erythematosus	0.00495135389058501	2.13294881516708	6.30828203282364e-14	1.62122848243568e-11	48	0.269741331997707	0.00170594532230801	0.000115341303067818	0.0961630735339746	0.0960949359050653	0.00509377652627231	0.0183663487245582	4.68834852473072e-05	0.000140809615552007	0.347516102234281	0.00214803052037574	0.0211673218180459	0.721847239004936
Alcoholism	0.0303485239971357	1.43042779936279	2.07058041502035e-07	2.66069583330115e-05	65	0.573239539766194	0.0152757796302241	0.00415875405496645	0.126724792218429	0.121277776662495	0.0271539232675386	0.0787792297583583	0.00110078197467711	0.0011743033705149	0.647075941323685	0.0269908184801688	0.0919807313827838	0.840108726327251
Antigen processing and presentation	0.037433629420916	1.3114999830307	1.86852571937155e-06	0.000160070369959496	56	0.330646367678374	0.102801681191137	0.0119796298016568	0.0122422308793257	0.187546419452991	0.0200586150918164	0.0051617666387428	0.0367881427990006	0.0828404252501784	0.852873130164017	0.278798280964373	0.0909130203001968	0.180396136089507
RNA transport	0.0393870794123067	1.21937719698549	7.16095524122021e-06	0.000411954141632014	82	0.473122270139799	0.0140331863257487	0.0688526891506415	0.0628618942688737	0.572003576916318	0.148231475188899	0.159077617034757	0.0162287831551157	0.00438048150601512	0.374883005124703	0.0119329830521571	0.154898948443566	0.440391280840677
Necroptosis	0.0397621370399441	1.2146874877691	8.01467201618704e-06	0.000411954141632014	80	0.326873311164401	0.068006171431008	0.0218354636704121	0.0609826304878333	0.446279473144237	0.0686748560641605	0.0598270101103574	0.00181230764927896	0.00185642305596626	0.80276075035568	0.0261681790753491	0.208812326568281	0.79835690265762
Graft-versus-host disease	0.0643356668257718	1.20243419993404	1.37018936565067e-05	0.000568232311394422	29	0.277450687401603	0.0941642025110307	0.0152795867669617	0.0194833281538852	0.142976463855841	0.049110275649502	0.0306503596219262	0.0981822670288875	0.103383241185084	0.620426727435449	0.538274417431042	0.118239981770106	0.144346468448012
Pathogenic Escherichia coli infection	0.0616661103236918	1.18880662518885	1.54771446683306e-05	0.000568232311394422	31	0.705531910071435	0.164837361589278	0.0230697172759633	0.0103800838139106	0.152288178166931	0.0293249934652926	0.067068089109517	0.0156051299636435	0.00736916095323741	0.789013263655806	0.199434263027561	0.058969244463523	0.629915322198849
Viral carcinogenesis	0.0358400150203689	1.1168384229669	3.54940304243967e-05	0.00114024572738375	107	0.721547372739833	0.0877788951521696	0.0264056584267265	0.13272768396109	0.471938764409573	0.109521248744914	0.108462535147401	0.00111140070495728	0.00011046397408645	0.74171806273351	0.0614615440284176	0.16353617014882	0.743197749929558
Spliceosome	0.045647724705274	1.0921858954644	5.1976398112903e-05	0.00148421492389068	81	0.31292276796868	0.0124127057630835	0.229355251150725	0.190956339573284	0.589846173986269	0.185060657974035	0.0894255693684946	0.00803175861343553	0.000819813419353181	0.746749719570429	0.0299198980644021	0.109982427101156	0.64326182324372
T cell receptor signaling pathway	0.0640353063080869	1.06852688439965	7.45469783749949e-05	0.00191585734423737	60	0.477459535375506	0.148353525245064	0.203542807804141	0.00844086261099876	0.403578833193303	0.0491696097360846	0.0521867580322383	0.0217413522182489	0.0223340370821983	0.688817661464124	0.318597970678987	0.0542256472031145	0.411467441650739
Epstein-Barr virus infection	0.0544991296379111	1.02819628212968	0.000119465619477769	0.00279115129143515	110	0.505161064127349	0.150846692585515	0.0419249630807348	0.0148331552424181	0.480453928349986	0.187877663763021	0.0601324124428083	0.0301367071649261	0.00521622645922488	0.828206336037349	0.160333371150145	0.10918544274097	0.453098383120231
Allograft rejection	0.0948923066731094	1.03814632881066	0.000145548710441211	0.0031171682152826	24	0.312812690270487	0.0854352647320224	0.0220374534974962	0.0601249793725459	0.310220244449963	0.0569684081919285	0.0480768363288266	0.115356364393228	0.0895747526276066	0.646666554124122	0.574492779273288	0.15548212049374	0.181900892682004
Chagas disease (American trypanosomiasis)	0.0942149182651389	0.988955102388744	0.000229795554765247	0.00454288135189757	43	0.287552474304039	0.119718525997077	0.141435307536895	0.084013430692969	0.583092059812881	0.149336911660554	0.0678652991239679	0.0132495644778803	0.0129209320737082	0.651954567409739	0.15612220481909	0.210772326962466	0.401533387607325
Kaposi sarcoma-associated herpesvirus infection	0.0874893186374005	0.949468276928992	0.000345429434418398	0.00616459375287933	87	0.511559162730773	0.138572810029792	0.137820574368871	0.0302265092821248	0.393261493113902	0.157083424275898	0.105497453826899	0.073839954460447	0.00710127530256629	0.56275620487801	0.180890624807325	0.194907136949675	0.43374339979463
Herpes simplex virus 1 infection	0.126906018081615	0.941381831303841	0.000359801191802296	0.00616459375287933	157	0.143571295983681	0.14613867724087	0.0357991126108975	0.0401394216012548	0.397795402720769	0.065318057823031	0.0751921019913822	0.210324913142893	0.178776838072775	0.45290679506119	0.459989582099096	0.35255527847372	0.160034846954153
RNA degradation	0.100648548366926	0.917577689368281	0.000555435102704687	0.00892167633719403	49	0.221678136618441	0.142891208907454	0.148358987766967	0.110181302331603	0.534407520260168	0.320190175768388	0.100034933356909	0.0503499021601026	0.0118434897058228	0.549526332591439	0.0618908823248042	0.187536786561178	0.584482973153317
Natural killer cell mediated cytotoxicity	0.086167151232768	0.903077454022656	0.000661203255852564	0.00999583745612406	68	0.528158443526669	0.243476017617894	0.0436817440280427	0.0187065970151934	0.281839929512168	0.087814511097088	0.0348517402258621	0.0548698018566864	0.180857216115015	0.819613255868223	0.521523090549633	0.120796752722646	0.241246628961909
Type I diabetes mellitus	0.114574769726067	0.890978659786967	0.000898025699970836	0.0117606091070897	26	0.29468383077503	0.0824438401633468	0.032962617599891	0.107892643936789	0.432231029390775	0.102326357072437	0.0833972725111649	0.113120844294158	0.07164201689089	0.704625101480264	0.558417180815534	0.180977496213885	0.298418112660776
Cellular senescence	0.0896325920428021	0.875098112729676	0.000900762034501177	0.0117606091070897	82	0.843890947816914	0.239199595234024	0.196784423960211	0.0117939431805453	0.301478417427711	0.199499639397147	0.164582243116104	0.198914268496623	0.0030724829500549	0.564249616998493	0.16068885140802	0.0700002488034653	0.41772705697339
mRNA surveillance pathway	0.130269575003605	0.868444967380005	0.000984584132051643	0.0117606091070897	49	0.356235470403652	0.129614253091029	0.147974103080505	0.209566981615126	0.641517192419079	0.180751131614015	0.0688480794085382	0.024510145097561	0.0600098491533639	0.320679862245095	0.151959328313989	0.277808550243079	0.433281830724337
Viral myocarditis	0.0874681621052395	0.882917847312336	0.000989915023176885	0.0117606091070897	36	0.618189549382206	0.207453696564466	0.0288348955842042	0.0696309224055774	0.30551436553519	0.0600310700625392	0.0237779417698857	0.226124255349187	0.137312959719251	0.703558745937795	0.609960681412737	0.0509938540377587	0.290629414502012
Toxoplasmosis	0.132582208143523	0.865069048441673	0.00100674474846682	0.0117606091070897	59	0.219232760564529	0.137033986126831	0.183199843576512	0.0833803000593429	0.447261160814501	0.0990878665815379	0.130443658442876	0.0750419938460207	0.0604410514280476	0.532992302509199	0.241433488700716	0.222295319020845	0.474881982138748
Influenza A	0.0914500783687005	0.838175888844049	0.00138615763978471	0.0154888049315074	86	0.512490916350186	0.166889563837356	0.102748668792758	0.0462729813198779	0.609671689972626	0.0956368236112952	0.116211086747843	0.015403404968142	0.0135361052767214	0.844979616380947	0.224392516496498	0.194083391461527	0.615488233190102
Human cytomegalovirus infection	0.0960414841984166	0.819327396012343	0.00170842267048542	0.0182943594297814	103	0.644072432626768	0.236259333967812	0.13065898441244	0.0347975722492538	0.568967096112309	0.186439639219875	0.0493996210229963	0.0919606131818432	0.00794091701927701	0.717246354499866	0.208629451015053	0.137744467548023	0.566316347138915
Pathways in cancer	0.111382504842477	0.787379463748218	0.00234187461668895	0.0240744710595624	207	0.665288401458469	0.231115796041683	0.191925298582781	0.105516304609676	0.309302768944873	0.209837094053717	0.196984596855624	0.0953232562602873	0.00660797868296233	0.424172348949248	0.0249684909771631	0.383988028390295	0.733625201330336
Proteoglycans in cancer	0.136008012186263	0.77609798501193	0.00272650975476066	0.0269505002682111	91	0.670372848714705	0.40840645981054	0.178639855154749	0.140763465295049	0.653070280882804	0.215211630021479	0.113799930518023	0.177547004497201	0.015405553605185	0.360437227329032	0.0858067443933835	0.0583825416662925	0.400096893410531
Proteasome	0.111141973268817	0.772829976288096	0.00309029168380146	0.029414998619888	32	0.599446009961638	0.0745016017564171	0.0984739905550158	0.101819882379032	0.554211567206166	0.182644023962584	0.069973944463754	0.0800735276553449	0.0546655263729238	0.894974698894735	0.0899384203482349	0.175713811006802	0.559958025810294
Leishmaniasis	0.160464525855565	0.74973394420195	0.00380703777967002	0.0342619354996032	43	0.30170160608737	0.342296090659705	0.239279710121723	0.107724355310155	0.425190785911243	0.134651646592446	0.0369049884702105	0.116380507864031	0.184767906895016	0.646721366884891	0.32340110281075	0.227997062352857	0.226550657439856
Fluid shear stress and atherosclerosis	0.138686995299779	0.745815529674881	0.00386613279956612	0.0342619354996032	66	0.522409790153044	0.406828742225782	0.199155872319946	0.185875329163744	0.411505914921429	0.0984679973008485	0.0900833475778782	0.287957240117527	0.0256279411981922	0.60053299027354	0.110515647906732	0.152923273387478	0.370619256948171
Thyroid hormone signaling pathway	0.147276004765781	0.733606406360379	0.00443001873467261	0.0379504938270287	57	0.593550557086978	0.207927465205226	0.195675296297681	0.0991631116334647	0.525536365055855	0.192356818635728	0.170157840791072	0.0706039969016836	0.0257469706533627	0.489662166530803	0.0666001111813263	0.262375905638568	0.733747493157314
Apoptosis	0.141010580197853	0.728491945894243	0.00460822830487331	0.0382036991726594	75	0.328352318687008	0.197381201170343	0.103264539414961	0.0740665826284439	0.424456241660222	0.155961137636913	0.221561628154964	0.0218857159024654	0.0161459504646344	0.780620863283614	0.287396098568284	0.42799621271353	0.761185004182337
RIG-I-like receptor signaling pathway	0.213134245951544	0.716113780310216	0.00534883894985275	0.0409407510007761	28	0.208745937179771	0.227125999695042	0.36109486849005	0.185815648467518	0.463254412297476	0.322282445513559	0.349939163660797	0.210517503819257	0.0580374298870606	0.211572233448884	0.149590721349608	0.343747887575906	0.20094670198188
NOD-like receptor signaling pathway	0.175000308275561	0.712171051219489	0.00537390357317833	0.0409407510007761	69	0.306018018147058	0.160687788630645	0.155054508923596	0.0569190443544795	0.589499234295143	0.223068720045504	0.172447495712009	0.132984371533665	0.0610628896153615	0.630835328312627	0.124739683674052	0.461643189378146	0.480163591867054
Renin secretion	0.19279077979738	0.723356440034392	0.00541628612461629	0.0409407510007761	20	0.4897519037474	0.232894841837951	0.27459917749424	0.220574543195166	0.184178157186922	0.0772325954617589	0.0612949796280376	0.148776375595722	0.229810648600677	0.600516938076928	0.165876130618509	0.372149352703101	0.354885812070774
Renal cell carcinoma	0.168597923967803	0.708072119708891	0.00593090774450749	0.0435498082953836	39	0.571699117020352	0.184789006263757	0.209496409092032	0.111666326241506	0.482482963867611	0.425271859199996	0.288918670309597	0.0748975153191834	0.0140267545015893	0.374390060575572	0.079360847174137	0.432877936722338	0.497776125134236
Osteoclast differentiation	0.159770843495673	0.69908219499506	0.00625568986204578	0.0442029423568883	64	0.436685040388076	0.508261587197379	0.57093823541376	0.0853700991914384	0.545774148088822	0.22620612774633	0.0900040290370016	0.0308005965448045	0.0525202370444523	0.368926656291756	0.298025546574913	0.35933492968937	0.162927370197927
Toll-like receptor signaling pathway	0.15831974474766	0.702402647282894	0.00636384773231466	0.0442029423568883	35	0.311380492339589	0.228874050658225	0.186237401153555	0.131122811130119	0.737953005642872	0.318594458466022	0.196885755600315	0.0360824779711979	0.0373341602983208	0.705056588085535	0.194599301105884	0.252252280144247	0.316462963585905
Ribosome biogenesis in eukaryotes	0.161239437758487	0.697176536633756	0.00658434258589938	0.0445309485414774	37	0.357263154350649	0.0768729409824146	0.182523632859274	0.102200248803956	0.332720688294152	0.371096032504629	0.306243021560056	0.114748565384787	0.0505373673971751	0.378559097745238	0.242027678251244	0.331463776782697	0.719875352448379
Legionellosis	0.158072166972442	0.694396538747819	0.00727140619757724	0.0447847207530994	27	0.192923377477156	0.204500001803056	0.178261282523325	0.142973356285729	0.551345949028817	0.22576978811226	0.273070393180475	0.0500361481552478	0.0766466696309374	0.672739334816322	0.129125656362098	0.326109014085273	0.619836306766884
