p.geomean	stat.mean	p.val	q.val	set.size	HAART_32.signal	HAART_31.signal	HAART_30.signal	HAART_29.signal	HAART_28.signal	HAART_27.signal	HAART_26.signal	HAART_25.signal	HAART_24.signal	HAART_23.signal	HAART_22.signal	HAART_21.signal	HAART_20.signal	HAART_19.signal	HAART_18.signal	HAART_17.signal	HAART_16.signal	HAART_15.signal	HAART_14.signal	HAART_13.signal	HAART_12.signal	HAART_11.signal	HAART_10.signal	HAART_09.signal	HAART_08.signal	HAART_07.signal	HAART_06.signal	HAART_05.signal	HAART_04.signal	HAART_03.signal	HAART_02.signal	HAART_01.signal
Neuroactive ligand-receptor interaction	0.0841578112978261	0.882399163405436	4.15767905780322e-07	0.000106852351785543	79	0.0137789102366262	0.112109792076551	0.181718971611502	0.126075350303928	0.848000784711059	0.492022557641261	0.0226316143238999	0.506249369026465	0.103187939362539	0.0149935189012907	0.176471865102819	0.39925057839453	0.48548843036483	0.328252750034498	0.304850695690777	0.275763189930392	0.0310253972689401	0.0106610381534062	0.00432874720208999	0.0202485893587991	0.0154928960726769	0.0688031422384778	0.359439369347294	0.0121580485903713	0.11010908487562	0.807506507316925	0.109100128260977	0.951366500534743	0.914233415605829	0.14033493759382	0.493597285520015	0.320873084966048
Tyrosine metabolism	0.188779876589001	0.776875579721048	1.22782144828965e-05	0.00141035785759383	11	0.0725093878592578	0.123192234616852	0.0403020543882588	0.134326103007696	0.121914071238948	0.476078005674939	0.279166174396538	0.285459503313361	0.265763779831892	0.116487459100728	0.166971703452545	0.238528448756193	0.29839953854501	0.198572022118631	0.0784520853169995	0.341940350119353	0.158526689502581	0.103022234973219	0.0702631338543294	0.142785315580568	0.146286370374124	0.185038335902599	0.146796240227259	0.241686810874477	0.368655000576073	0.271548345528004	0.635786413656792	0.769697514999267	0.783582274915136	0.310662345658949	0.221553631909087	0.31489594424555
ECM-receptor interaction	0.191091855395039	0.744863973687751	1.64633212948696e-05	0.00141035785759383	27	0.239604067624682	0.221675152966531	0.0438019925794497	0.0313509137015456	0.294904850755787	0.596985177136109	0.317320801409319	0.259022588595882	0.138369829742098	0.206505068539661	0.0432827584961042	0.221336420115336	0.127174859794199	0.17214697278849	0.104656154733098	0.252497738264012	0.14250479849988	0.276134690881574	0.36459763483557	0.137746421368149	0.0552253199122714	0.218324315545979	0.311369192118029	0.191314028716857	0.234803733571719	0.666636818446446	0.384335966875824	0.737838955673486	0.682550445099246	0.329141251669069	0.26042086410678	0.108287021263807
Drug metabolism	0.204851459870626	0.698529106606695	4.8049496431467e-05	0.00308718014572176	29	0.215442936558628	0.401783819133831	0.180622677769959	0.315026867406579	0.426158959831075	0.350735907657667	0.112995821403421	0.256229376288546	0.233507735702609	0.173716647700766	0.282786399353498	0.463006253464226	0.360665841841534	0.361791049481603	0.41103993765535	0.0502516125116095	0.204444588235696	0.100742826999493	0.109029083696195	0.0934098901075087	0.16142190834235	0.162737176203936	0.501342790869342	0.150299105213263	0.252044660334227	0.195261697689468	0.193912182593943	0.619177618040322	0.676900996679327	0.144438245344997	0.164432944724428	0.168228086862331
Retinol metabolism	0.163331557070418	0.680843695783077	8.48874887136704e-05	0.00412130470552205	19	0.0477534840553072	0.0540765778269886	0.117432823103934	0.0984060490606991	0.10936470470154	0.477721428501627	0.0316133740156294	0.50549932694248	0.304780549615756	0.0505923865955476	0.0820343842389818	0.190270200660971	0.250642873632907	0.409509502702004	0.155708233911446	0.672234574888078	0.0398105567168864	0.164687026066596	0.112480238536774	0.146694482467839	0.146888046651517	0.201267156059301	0.244663348550869	0.182555265200938	0.672089150858	0.657091347100786	0.632523173469003	0.989465873084912	0.889848126020406	0.129799589776609	0.199291689581532	0.218652774071553
Staphylococcus aureus infection	0.206045678076897	0.669852884288142	9.62172304791139e-05	0.00412130470552205	25	0.160610766410233	0.305514313135314	0.308113548499809	0.169532403928423	0.417889806515162	0.280125860901737	0.235364367061582	0.776151617121966	0.144374786312888	0.334797566102514	0.50876223489551	0.293072218852405	0.608362956829281	0.551444359335591	0.316899166117101	0.303025069546988	0.137921756386693	0.306974292012049	0.113139995590758	0.0843561964814091	0.192818961448285	0.422101043278048	0.107138046132658	0.261124046589203	0.115211314999239	0.0410175848623242	0.215517339541825	0.435545374552921	0.452800808465654	0.140566596378627	0.125072785752232	0.0770862364836281
Fatty acid degradation	0.241159698870911	0.611760003119541	0.000406951295813987	0.0149409261463135	11	0.105040192509408	0.308052843918301	0.346941260748998	0.238698642644495	0.212615068904781	0.243255685289063	0.263770940419847	0.524957738720385	0.35190620417737	0.176884435920597	0.183094850503339	0.281368804308715	0.192842034192377	0.316458045993556	0.160848319870076	0.30828122898157	0.08242295499198	0.302996393751853	0.457565512842506	0.208617953910077	0.302309961505019	0.382252272102622	0.470368010889292	0.217559796548864	0.206548034135875	0.242765522302204	0.515452506843797	0.632182586153768	0.538450846143865	0.0871200041497788	0.186116172149461	0.273360997135761
Porphyrin and chlorophyll metabolism	0.262385195656086	0.581585208404882	0.000647865160393335	0.0208126682776359	14	0.297202259436396	0.325160902151023	0.27626055456527	0.286838293400091	0.25211413917388	0.45633953166456	0.124551325259018	0.357365817577223	0.433200127689576	0.317447808563597	0.274048067274098	0.180281067421523	0.266774668168112	0.207022403411929	0.310660401151184	0.366111090831369	0.412054617680498	0.354210921791207	0.488983376164007	0.409477097463515	0.212846478493733	0.208151200903891	0.23760415766128	0.471476407510928	0.406559749260999	0.228222658989915	0.375953225598913	0.387796851147557	0.223940583833793	0.110964268802954	0.0962114551914846	0.112703378430144
Metabolism of xenobiotics by cytochrome P450	0.243219974925717	0.541019655058131	0.0013694959116312	0.039106716587691	18	0.142930941564699	0.236813159480927	0.217450896506512	0.447095375914162	0.472291327604303	0.583108376224373	0.0697527927007092	0.365508649601025	0.349629621907632	0.1971811032505	0.311509597243374	0.45755058272426	0.405455920478933	0.280233819628855	0.375586189467595	0.129994371605209	0.245829144827709	0.174867333956062	0.225482240646136	0.208350660724338	0.264278746435011	0.146880088106382	0.507566582379569	0.125605821164311	0.330763045186959	0.310569199034645	0.291192080014115	0.851126781432643	0.744021407350878	0.129455807261224	0.185642986685705	0.25443014865442
Chemical carcinogenesis	0.279809364256003	0.488122238730146	0.00347203753636508	0.0892313646845825	14	0.336611424103754	0.272569063509966	0.289922101718248	0.457081840098397	0.282412031813999	0.510081434414071	0.224364988886762	0.472688371792919	0.476654784232019	0.319631205763477	0.304469288759758	0.554398011784562	0.57473188488855	0.313238146434028	0.338546071597634	0.16211588628994	0.252453820285042	0.28537684379269	0.278186022808925	0.270119132530456	0.355471366123422	0.193646304814704	0.451668859459083	0.145095644489709	0.255889534264666	0.307011954384872	0.228037421633065	0.695518086523124	0.503630320952754	0.120859848196727	0.143376751025084	0.128444718353443
